decimalLatitude,decimalLongitude,eventDate,species,label
42.692,176.542,2012-09-15T09:15,Green Sea Turtle,1
27.5,-83.5,2012-05-25T07:00:18/2013-07-10T21:01:07,Green Sea Turtle,1
26.95,-80.05,1966-12,Green Sea Turtle,1
-21.948,113.919,2023-12-19T03:08:59Z,Green Sea Turtle,1
37.973,-156.426,2003-08-23T08:02:47,Green Sea Turtle,1
36.195,164.083,2012-07-07T06:47,Green Sea Turtle,1
36.69,-158.063,2004-08-01T01:12:20,Green Sea Turtle,1
29.684,151.967,2005-01-17T10:01:40,Green Sea Turtle,1
37.08,-25.07,2000-08-14T13:26:00Z/2000-08-14T13:26:00Z,Green Sea Turtle,1
38.45,-27.87,2000-08-06T11:05:00Z/2000-08-06T11:05:00Z,Green Sea Turtle,1
36.824,173.931,2011-01-05T13:33,Green Sea Turtle,1
28.1,-80.233,1967-12,Green Sea Turtle,1
24.5,-85.5,2007-08-22T10:09:05/2007-08-22T17:12:22,Green Sea Turtle,1
37.098,146.059,2011-08-03T19:26,Green Sea Turtle,1
36.221,171.355,2012-04-02T18:20,Green Sea Turtle,1
39.492,174.627,2011-01-02T20:21,Green Sea Turtle,1
42.383,137.325,2011-08-06T16:26,Green Sea Turtle,1
-20.24957,53.46196,2011-08-23T11:06:43,Green Sea Turtle,1
39.981,-159.476,2012-09-29T08:29,Green Sea Turtle,1
38.52,-27.68,2000-07-03T17:48:00Z/2000-07-03T17:48:00Z,Green Sea Turtle,1
32.49,-165.889,1998-04-25T07:48,Green Sea Turtle,1
36.906659,-75.370426,2015-09-19T13:26:55,Green Sea Turtle,1
31.269,174.926,2012-05-22T06:59,Green Sea Turtle,1
30.901,-156.361,2003-02-15T11:49:44,Green Sea Turtle,1
36.8222,0.0912,2018-11-05T05:17:00+00:00,Green Sea Turtle,1
37.4757,5.7276,2018-12-27T05:49:00+00:00,Green Sea Turtle,1
41.074,2.084,2016-07-23T12:21:00+00:00,Green Sea Turtle,1
-31.1713,36.88358,2012-01-28T01:41:22,Green Sea Turtle,1
35.871108,-75.117669,2005-10-31T15:02,Green Sea Turtle,1
39.059,6.126,2017-11-25T14:24:00+00:00,Green Sea Turtle,1
-21.961,113.961,2024-03-11T15:15:53Z,Green Sea Turtle,1
25.478,121.752,2004-04-14T13:11:23,Green Sea Turtle,1
-21.988,113.945,2024-02-29T12:42:23Z,Green Sea Turtle,1
1.99252,56.81369,2011-12-15T09:11:02,Green Sea Turtle,1
40.4774,-72.9083,2016-08-02T10:44:00,Green Sea Turtle,1
35.346001,25.764999,2011-12-22T04:00:58,Green Sea Turtle,1
38.816,164.653,2012-11-08T18:20,Green Sea Turtle,1
36.05,-73.4,1995-05-13,Green Sea Turtle,1
26.20226,-82.61282,2017-07-02T13:13:29,Green Sea Turtle,1
38.015999,23.525999,2011-09-10T01:33:04,Green Sea Turtle,1
38.4658,-28.6898,2011-05-22T13:23:00Z/2011-05-22T13:23:00Z,Green Sea Turtle,1
-35.50254,32.84022,2012-02-10T15:04:13,Green Sea Turtle,1
-8.5,-61.5,2006-07-05T13:08:42/2006-07-05T13:08:42,Green Sea Turtle,1
30.831,-151.232,2003-05-05T08:15:41,Green Sea Turtle,1
35.734,175.734,2012-06-11T18:27,Green Sea Turtle,1
36.677,-165.342,2012-06-03T20:04,Green Sea Turtle,1
40.57379,3.1612,2017-07-02T17:03:00+00:00,Green Sea Turtle,1
36.586,-2.474,2016-07-07T17:27:00+00:00,Green Sea Turtle,1
40.84197,7.12811,2018-09-23T06:55:00+00:00,Green Sea Turtle,1
44.28,162.455,2010-10-02T05:49,Green Sea Turtle,1
27.474,121.899,2008-06-21T05:34:06,Green Sea Turtle,1
42.464,148.183,2011-08-15T17:07,Green Sea Turtle,1
